name,year_start,year_end,position,height,weight,birth_date,college
George Karl,1974,1978,,,,"May 12, 1952",University of North Carolina
Dick Lee,1968,1968,F,6-6,,,University of Washington
Murray Mitchell,1950,1950,C,6-6,,"March 19, 1923",Sam Houston State University
Paul Nolen,1954,1954,C,6-10,,"September 3, 1929",Texas Tech University
Ray Wertis,1947,1948,G,5-11,,"January 1, 1922",St. John's University
Bob Wood,1950,1950,G,5-10,,"October 7, 1921",Northern Illinois University
