id,year,orb_drb_avg,height_band
103,1989,247.3450292397661,2.0-2.1
104,1990,246.92307692307693,2.0-2.1
105,1991,266.24375,2.0-2.1
106,1992,278.1794871794872,2.0-2.1
107,1993,248.94535519125682,2.0-2.1
108,1994,227.5320197044335,2.0-2.1
109,1995,247.9776536312849,2.0-2.1
110,1996,226.14492753623188,2.0-2.1
111,1997,201.3402489626556,2.0-2.1
112,1998,228.4162895927602,2.0-2.1
113,1999,148.69756097560975,2.0-2.1
114,2000,230.12385321100916,2.0-2.1
115,2001,242.4093023255814,2.0-2.1
116,2002,244.4923076923077,2.0-2.1
117,2003,256.2690355329949,2.0-2.1
118,2004,224.02880658436214,2.0-2.1
119,2005,218.25,2.0-2.1
120,2006,208.71311475409837,2.0-2.1
121,2007,219.80519480519482,2.0-2.1
122,2008,221.29961089494162,2.0-2.1
123,2009,215.89328063241106,2.0-2.1
124,2010,232.0569105691057,2.0-2.1
125,2011,219.9360902255639,2.0-2.1
126,2012,195.03478260869565,2.0-2.1
127,2013,231.57258064516128,2.0-2.1
128,2014,214.38403041825094,2.0-2.1
129,2015,199.17582417582418,2.0-2.1
130,2016,217.0954356846473,2.0-2.1
131,2017,216.66804979253112,2.0-2.1
132,1974,235.55555555555554,2.1-2.2
133,1975,343.1111111111111,2.1-2.2
134,1976,395.5263157894737,2.1-2.2
135,1977,449.60714285714283,2.1-2.2
136,1978,521.52,2.1-2.2
137,1979,433.7241379310345,2.1-2.2
138,1980,446.58620689655174,2.1-2.2
139,1981,337.575,2.1-2.2
140,1982,320.7105263157895,2.1-2.2
141,1983,291.9782608695652,2.1-2.2
142,1984,376.5882352941176,2.1-2.2
143,1985,280.6,2.1-2.2
144,1986,249.35087719298247,2.1-2.2
145,1987,296.5,2.1-2.2
146,1988,287.27536231884056,2.1-2.2
147,1989,264.67241379310343,2.1-2.2
148,1990,251.0597014925373,2.1-2.2
149,1991,285.98591549295776,2.1-2.2
150,1992,286.0689655172414,2.1-2.2
151,1993,232.63333333333333,2.1-2.2
152,1994,248.93846153846152,2.1-2.2
153,1995,271.25,2.1-2.2
154,1996,215.33684210526314,2.1-2.2
155,1997,231.51807228915663,2.1-2.2
156,1998,252.56338028169014,2.1-2.2
157,1999,141.95833333333334,2.1-2.2
158,2000,282.37704918032784,2.1-2.2
159,2001,253.2289156626506,2.1-2.2
160,2002,284.18823529411765,2.1-2.2
161,2003,257.17045454545456,2.1-2.2
162,2004,238.4954128440367,2.1-2.2
163,2005,271.2,2.1-2.2
