id,year,height,weighed_height_by_pts,weighed_height_by_orb_drb_sum,position
141,1983,1.9600333333333333,1.9640808974835753,1.9632475969645866,SG
142,1984,1.9717925925925925,1.9721081390393862,1.9683599470666078,SG
143,1985,1.9727333333333334,1.972143791946309,1.9702781648993726,SG
144,1986,1.9737916666666668,1.9745319342704415,1.9715280238924837,SG
145,1987,1.97405625,1.976724784563507,1.974927068775285,SG
146,1988,1.9729621621621622,1.9741893736073286,1.9723272438723334,SG
147,1989,1.9771590909090906,1.979679800498753,1.9769765994056,SG
148,1990,1.974547619047619,1.977827234818869,1.976955703966199,SG
149,1991,1.974547619047619,1.981810602561411,1.9797135610079577,SG
150,1992,1.9742727272727267,1.9776083862433858,1.9773221636240705,SG
151,1993,1.9724914285714286,1.977668836031855,1.9765516339869282,SG
152,1994,1.9688432432432432,1.9810224958402665,1.9795585786448355,SG
153,1995,1.9804944444444448,1.985842434293181,1.9850848995463382,SG
154,1996,1.9831169811320757,1.9879187283720579,1.9869916185991756,SG
155,1997,1.984375,1.9870828888423695,1.9869542334096109,SG
156,1998,1.9831049999999997,1.985866950688905,1.985608523780111,SG
157,1999,1.980565,1.9870267381974251,1.9871031096563012,SG
158,2000,1.9811999999999999,1.9862184904379316,1.9859267446153848,SG
159,2001,1.9820193548387097,1.9872019404270755,1.986772493929934,SG
160,2002,1.9926709677419356,1.994241238317757,1.9931225962221273,SG
161,2003,1.9920857142857142,1.992432196580398,1.9930434135528814,SG
162,2004,1.9932952380952382,1.9919036641949612,1.99264493281075,SG
163,2005,1.9860380952380954,1.9873217351736683,1.9869642978826965,SG
164,2006,1.9902311111111115,1.9891886150875273,1.9887365323800354,SG
165,2007,1.987826086956522,1.988880459770115,1.990187322611164,SG
166,2008,1.9874301886792456,1.9887773109243698,1.9883665001314754,SG
167,2009,1.9884571428571434,1.988275494051954,1.9888183366077279,SG
168,2010,1.9924058823529416,1.9888103507819825,1.989912097165992,SG
169,2011,1.9916205128205133,1.9869293711195672,1.9882269370774828,SG
170,2012,1.9901243243243252,1.9883276406826573,1.9878492402385073,SG
171,2013,1.9881272727272732,1.986993809965955,1.986073664288834,SG
172,2014,1.9864916666666668,1.9892505527953093,1.9874174013921115,SG
173,2015,1.9877689655172417,1.9935551615818239,1.991354136206233,SG
174,2016,1.9918218181818188,1.9947382179618138,1.9928903514979943,SG
175,2017,1.9905133333333336,1.9959457159575356,1.993052675216997,SG
176,1974,2.09296,2.091629227841218,2.0909692194620026,C
177,1975,2.099365217391304,2.1029260919687465,2.100936899712683,C
178,1976,2.099733333333333,2.113055233257586,2.106426965966691,C
179,1977,2.109409523809524,2.1143356084527576,2.111972838210209,C
180,1978,2.109536842105263,2.1168894736842105,2.1152096470292676,C
181,1979,2.106863157894737,2.109871742562234,2.1091308142021963,C
182,1980,2.1069299999999997,2.1141847816960544,2.1107251855779428,C
183,1981,2.1214079999999997,2.1186799264777014,2.116569656262347,C
184,1982,2.118946153846154,2.125427015508465,2.125328441479685,C
185,1983,2.1301363636363635,2.1305785585776276,2.1341948563218387,C
186,1984,2.1238307692307687,2.1272253192670743,2.132460959232614,C
187,1985,2.128344827586206,2.12733422338569,2.1348101073453143,C
188,1986,2.149323809523809,2.1381117936829908,2.148899672636241,C
189,1987,2.136078048780488,2.137060477251034,2.144117815687654,C
190,1988,2.1360901960784315,2.133511922488527,2.1399197915880084,C
191,1989,2.1443950000000003,2.1410569674418602,2.148792032374101,C
192,1990,2.144183333333333,2.1478767006802717,2.1486139051995576,C
193,1991,2.1396739130434783,2.141037531472652,2.144163129659305,C
194,1992,2.147146666666667,2.1403910050938006,2.142760655737705,C
195,1993,2.137382978723404,2.136207290709996,2.1344459068700767,C
196,1994,2.149642105263158,2.1449384707526447,2.142013644558307,C
197,1995,2.1430511627906976,2.1534945204528095,2.15010310318076,C
198,1996,2.134720588235294,2.1531773431053733,2.1503263023601953,C
199,1997,2.1293070422535214,2.148666092806965,2.141068064072081,C
200,1998,2.1265661538461536,2.13650997959382,2.132611899313501,C
201,1999,2.125254285714286,2.131342851831196,2.1268533128253675,C
202,2000,2.1312037735849056,2.1357959751092284,2.1295229166666667,C
203,2001,2.1258695652173913,2.123761251996168,2.124988219444652,C
204,2002,2.1224657534246574,2.1260521390786296,2.125063393511425,C
205,2003,2.1275523809523813,2.13432293067986,2.132783013414363,C
206,2004,2.1273976744186047,2.1273172070303143,2.1258579348747126,C
207,2005,2.1281081081081084,2.1268924628676,2.1261447544069827,C
208,2006,2.1263428571428573,2.1282477492780703,2.1263266444205646,C
209,2007,2.1235275862068965,2.1261027754677757,2.1261875152170973,C
210,2008,2.1250140845070424,2.1252088838493393,2.124776987827773,C
211,2009,2.125023376623376,2.1281665052933976,2.1254678406654097,C
212,2010,2.1331766666666665,2.129770535669712,2.128096666666667,C
213,2011,2.130812195121951,2.129908957532811,2.1280169839516603,C
214,2012,2.126087323943662,2.12674219102532,2.1246552262563485,C
215,2013,2.1205371428571427,2.1266670947829542,2.125159301452179,C
216,2014,2.1187558441558445,2.1250479764603734,2.123529764203382,C
217,2015,2.1238882352941175,2.128783080193237,2.1275811750083657,C
218,2016,2.1273795918367346,2.1285434696234695,2.12738141981732,C
219,2017,2.1363214285714283,2.130983120525809,2.1295180278509593,C
